gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,curncd,fyr,act,at,capx,ceq,che,cogs,cshi,csho,cshpri,cshr,cstk,dlc,dltt,ebit,ebitda,epsfi,epsfx,epspi,epspx,gp,ib,lct,lt,mibt,ni,oancf,opeps,optdr,pstk,re,revt,seq,teq,txditc,costat,cshtr_c,dvpsp_c,dvpsx_c,cshtr_f,dvpsp_f,dvpsx_f,mkvalt,auop,addzip,city,county,dlrsn,fyrc,ggroup,gind,gsector,gsubind,sic,spcindcd,spcseccd,spcsrc,state,dldte
001161,20151231,2015,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,USD,12,2320.0000,3109.0000,96.0000,-412.0000,785.0000,2784.0000,806.0000,792.0000,783.0000,6.2630,8.0000,230.0000,2032.0000,-319.0000,-222.0000,-0.8400,-0.8400,-0.8400,-0.8400,1207.0000,-660.0000,1403.0000,3521.0000,0.0000,-660.0000,-226.0000,-0.6200,0.0000,0.0000,-7314.0000,3991.0000,-412.0000,-412.0000,0.0000,A,3436016891.0000,0.0000,0.0000,3436016891.0000,0.0000,0.0000,2273.0400,1,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20161231,2016,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,USD,12,2530.0000,3321.0000,77.0000,416.0000,1264.0000,2863.0000,949.0000,935.0000,835.0000,6.1500,9.0000,0.0000,1435.0000,-130.0000,-59.0000,-0.6000,-0.6000,-0.6000,-0.6000,1409.0000,-497.0000,1346.0000,2905.0000,0.0000,-497.0000,90.0000,-0.2600,0.0000,0.0000,-7808.0000,4272.0000,416.0000,416.0000,11.0000,A,7727540931.0000,0.0000,0.0000,7727540931.0000,0.0000,0.0000,10602.9000,1,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20171231,2017,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,USD,12,2622.0000,3540.0000,113.0000,611.0000,1187.0000,3429.0000,979.0000,967.0000,952.0000,5.9620,9.0000,70.0000,1325.0000,152.0000,229.0000,0.0400,0.0400,0.0400,0.0400,1900.0000,43.0000,1486.0000,2929.0000,0.0000,43.0000,68.0000,0.0400,0.0000,0.0000,-7754.0000,5329.0000,611.0000,611.0000,11.0000,A,16286174990.0000,0.0000,0.0000,16286174990.0000,0.0000,0.0000,9940.7600,1,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001447,20151231,2015,FS,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,161184.0000,,20673.0000,,,,,,24.7040,194.0000,11626.0000,41247.0000,,,,,,,,5163.0000,,140511.0000,,,,,,0.0000,9665.0000,34441.0000,20673.0000,20673.0000,,A,1602027561.0000,1.1000,1.1000,1602027561.0000,1.1000,1.1000,67393.9500,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001447,20151231,2015,INDL,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,161184.0000,1383.0000,20673.0000,23102.0000,24430.0000,969.0000,969.0000,999.0000,24.7040,194.0000,11626.0000,41247.0000,8968.0000,10011.0000,5.0500,5.0500,5.0700,5.0700,10011.0000,5163.0000,,140511.0000,,5163.0000,10972.0000,5.3200,1.1000,0.0000,7131.0000,34441.0000,20673.0000,20673.0000,0.0000,A,1602027561.0000,1.1000,1.1000,1602027561.0000,1.1000,1.1000,67393.9500,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001447,20161231,2016,FS,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,158893.0000,,20501.0000,,,,,,23.5720,181.0000,21305.0000,31266.0000,,,,,,,,5408.0000,,138392.0000,,,,,,0.0000,10371.0000,33823.0000,20501.0000,20501.0000,,A,1398452230.0000,1.1900,1.1900,1398452230.0000,1.1900,1.1900,,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001447,20161231,2016,INDL,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,158893.0000,1377.0000,20501.0000,25830.0000,24654.0000,904.0000,904.0000,933.0000,23.5720,181.0000,21305.0000,31266.0000,8074.0000,9169.0000,5.6500,5.6500,5.6700,5.6700,9169.0000,5408.0000,,138392.0000,,5408.0000,8224.0000,5.1400,1.9000,0.0000,7587.0000,33823.0000,20501.0000,20501.0000,0.0000,A,1398452230.0000,1.1900,1.1900,1398452230.0000,1.1900,1.1900,,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001447,20171231,2017,FS,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,181159.0000,,18227.0000,,,,,,22.2620,172.0000,15212.0000,43870.0000,,,,,,,,2736.0000,,162932.0000,,,,,,0.0000,8273.0000,35583.0000,18227.0000,18227.0000,,A,893864963.0000,1.3100,1.3100,893864963.0000,1.3100,1.3100,,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001447,20171231,2017,INDL,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,USD,12,,181159.0000,1063.0000,18227.0000,33552.0000,25965.0000,859.0000,859.0000,883.0000,22.2620,172.0000,15212.0000,43870.0000,8297.0000,9618.0000,2.9700,2.9700,2.9800,2.9800,9618.0000,2736.0000,,162932.0000,,2736.0000,13540.0000,5.9600,1.8000,0.0000,5845.0000,35583.0000,18227.0000,18227.0000,0.0000,A,893864963.0000,1.3100,1.3100,893864963.0000,1.3100,1.3100,,1,10285,New York,,,12,4020,402020,40,40202010,6141,850,800,A-,NY,
001487,20151231,2015,FS,C,D,STD,AIG,026874784,AMERICAN INTERNATIONAL GROUP,USD,USD,12,,496943.0000,,89658.0000,,,,,,29.2450,4766.0000,,29350.0000,,,,,,,,2196.0000,,406733.0000,552.0000,,,,,0.0000,30943.0000,58750.0000,89658.0000,90210.0000,,A,2089927333.0000,0.8100,0.8100,2089927333.0000,0.8100,0.8100,,1,10038,New York,,,12,4030,403010,40,40301030,6331,830,800,B-,NY,
