"gvkey","date","followers","ID"
1161,20170101,470212,"1161 20170101"
1161,20170103,470695,"1161 20170103"
1161,20170104,470898,"1161 20170104"
1161,20170105,471525,"1161 20170105"
1161,20170106,472191,"1161 20170106"
1161,20170107,472491,"1161 20170107"
1161,20170108,472756,"1161 20170108"
1161,20170110,473455,"1161 20170110"
1161,20170111,473647,"1161 20170111"
1161,20170112,473840,"1161 20170112"
1161,20170113,474085,"1161 20170113"
1161,20170114,474255,"1161 20170114"
1161,20170116,474573,"1161 20170116"
1161,20170117,474654,"1161 20170117"
1161,20170118,474898,"1161 20170118"
1161,20170119,475155,"1161 20170119"
1161,20170120,475338,"1161 20170120"
1161,20170121,475485,"1161 20170121"
1161,20170122,475871,"1161 20170122"
1161,20170123,476056,"1161 20170123"
1161,20170124,476311,"1161 20170124"
1161,20170125,476446,"1161 20170125"
1161,20170126,476952,"1161 20170126"
1161,20170127,477201,"1161 20170127"
1161,20170128,477465,"1161 20170128"
1161,20170129,477732,"1161 20170129"
1161,20170130,477891,"1161 20170130"
1161,20170131,478073,"1161 20170131"
1161,20170201,478903,"1161 20170201"
1161,20170202,479326,"1161 20170202"
1161,20170203,479690,"1161 20170203"
1161,20170205,480551,"1161 20170205"
1161,20170206,480986,"1161 20170206"
1161,20170207,481369,"1161 20170207"
1161,20170208,481500,"1161 20170208"
1161,20170209,481811,"1161 20170209"
1161,20170210,482278,"1161 20170210"
1161,20170213,483386,"1161 20170213"
1161,20170214,483582,"1161 20170214"
1161,20170215,484201,"1161 20170215"
1161,20170216,484503,"1161 20170216"
1161,20170217,484980,"1161 20170217"
1161,20170220,486011,"1161 20170220"
1161,20170221,486278,"1161 20170221"
1161,20170222,486693,"1161 20170222"
1161,20170223,487447,"1161 20170223"
1161,20170227,489181,"1161 20170227"
1161,20170228,489899,"1161 20170228"
1161,20170301,490141,"1161 20170301"
1161,20170302,490680,"1161 20170302"
1161,20170303,491467,"1161 20170303"
1161,20170304,491831,"1161 20170304"
1161,20170306,492373,"1161 20170306"
1161,20170307,492484,"1161 20170307"
1161,20170308,492819,"1161 20170308"
1161,20170309,492865,"1161 20170309"
1161,20170310,493226,"1161 20170310"
1161,20170311,493547,"1161 20170311"
1161,20170312,493817,"1161 20170312"
1161,20170313,494403,"1161 20170313"
1161,20170314,494580,"1161 20170314"
1161,20170315,494804,"1161 20170315"
1161,20170316,494934,"1161 20170316"
1161,20170317,498145,"1161 20170317"
1161,20170318,501077,"1161 20170318"
1161,20170319,503208,"1161 20170319"
1161,20170320,505055,"1161 20170320"
1161,20170321,506349,"1161 20170321"
1161,20170322,506474,"1161 20170322"
1161,20170323,506720,"1161 20170323"
1161,20170324,506900,"1161 20170324"
1161,20170326,507322,"1161 20170326"
1161,20170327,507509,"1161 20170327"
1161,20170328,507610,"1161 20170328"
