gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,actq,atq,ceqq,cheq,cogsq,cshiq,cshoq,cshprq,cstkq,dlcq,dlttq,epsfiq,epsfxq,epspiq,epspxq,ibq,lctq,lltq,ltq,mibtq,niq,opepsq,optdrq,pstkq,req,revtq,seqq,teqq,txditcq,xoprq,costat,cshtrq,dvpspq,mkvaltq,addzip,city,county,dlrsn,fyrc,ggroup,gind,gsector,gsubind,sic,spcindcd,spcseccd,spcsrc,state,dldte
001161,20150331,2015,1,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2015Q1,2015Q1,2497.0000,3428.0000,17.0000,906.0000,661.0000,790.0000,778.0000,777.0000,8.0000,235.0000,2033.0000,-0.2300,-0.2300,-0.2300,-0.2300,-180.0000,1292.0000,2119.0000,3411.0000,0.0000,-180.0000,-0.1200,0.0000,0.0000,-6838.0000,1030.0000,17.0000,17.0000,0.0000,1034.0000,A,1051935746.0000,0.0000,2085.0400,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20150630,2015,2,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2015Q2,2015Q2,2451.0000,3381.0000,-141.0000,829.0000,632.0000,791.0000,779.0000,778.0000,8.0000,235.0000,2034.0000,-0.2300,-0.2300,-0.2300,-0.2300,-181.0000,1399.0000,2123.0000,3522.0000,0.0000,-181.0000,-0.1900,0.0000,0.0000,-7012.0000,942.0000,-141.0000,-141.0000,0.0000,1001.0000,A,932569827.0000,0.0000,1869.6000,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20150930,2015,3,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2015Q3,2015Q3,2466.0000,3229.0000,-336.0000,755.0000,780.0000,803.0000,790.0000,785.0000,8.0000,230.0000,2030.0000,-0.2500,-0.2500,-0.2500,-0.2500,-197.0000,1449.0000,2116.0000,3565.0000,0.0000,-197.0000,-0.1900,0.0000,0.0000,-7219.0000,1061.0000,-336.0000,-336.0000,0.0000,1129.0000,A,844945303.0000,0.0000,1358.8000,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20151231,2015,4,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2015Q4,2015Q4,2320.0000,3109.0000,-412.0000,785.0000,641.0000,806.0000,792.0000,791.0000,8.0000,230.0000,2032.0000,-0.1300,-0.1300,-0.1300,-0.1300,-102.0000,1403.0000,2118.0000,3521.0000,0.0000,-102.0000,-0.1200,0.0000,0.0000,-7314.0000,958.0000,-412.0000,-412.0000,0.0000,979.0000,A,606566015.0000,0.0000,2273.0400,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20160331,2016,1,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2016Q1,2016Q1,2226.0000,2981.0000,-503.0000,716.0000,530.0000,807.0000,793.0000,793.0000,8.0000,230.0000,2006.0000,-0.1400,-0.1400,-0.1400,-0.1400,-109.0000,1328.0000,2156.0000,3484.0000,0.0000,-109.0000,-0.1400,,0.0000,-7421.0000,832.0000,-503.0000,-503.0000,0.0000,877.0000,A,880836454.0000,0.0000,2260.0500,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20160630,2016,2,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2016Q2,2016Q2,2506.0000,3316.0000,-413.0000,957.0000,675.0000,809.0000,795.0000,794.0000,8.0000,226.0000,2012.0000,0.0800,0.0800,0.0900,0.0900,69.0000,1581.0000,2148.0000,3729.0000,0.0000,69.0000,-0.0800,,0.0000,-7349.0000,1027.0000,-413.0000,-413.0000,0.0000,1035.0000,A,1490919727.0000,0.0000,4086.3000,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20160930,2016,3,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2016Q3,2016Q3,2824.0000,3616.0000,385.0000,1258.0000,875.0000,941.0000,926.0000,815.0000,9.0000,0.0000,1632.0000,-0.5000,-0.5000,-0.5000,-0.5000,-406.0000,1473.0000,1758.0000,3231.0000,0.0000,-406.0000,-0.0400,0.0000,0.0000,-7755.0000,1307.0000,385.0000,385.0000,0.0000,1251.0000,A,2345705880.0000,0.0000,6398.6600,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20161231,2016,4,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2016Q4,2016Q4,2530.0000,3321.0000,416.0000,1264.0000,721.0000,949.0000,935.0000,931.0000,9.0000,0.0000,1435.0000,-0.0600,-0.0600,-0.0600,-0.0600,-51.0000,1346.0000,1559.0000,2905.0000,0.0000,-51.0000,-0.0500,0.0000,0.0000,-7808.0000,1106.0000,416.0000,416.0000,11.0000,1106.0000,A,3010078870.0000,0.0000,10602.9000,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20170331,2017,1,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2017Q1,2017Q1,2498.0000,3299.0000,409.0000,945.0000,766.0000,953.0000,942.0000,939.0000,9.0000,0.0000,1408.0000,-0.0400,-0.0400,-0.0400,-0.0400,-33.0000,1372.0000,1518.0000,2890.0000,0.0000,-33.0000,-0.0300,,0.0000,-7880.0000,1178.0000,409.0000,409.0000,,1160.0000,A,4172007130.0000,0.0000,13706.1000,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
001161,20170630,2017,2,12,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,2017Q2,2017Q2,2511.0000,3370.0000,417.0000,846.0000,730.0000,959.0000,947.0000,945.0000,9.0000,42.0000,1375.0000,-0.0400,-0.0400,-0.0400,-0.0400,-42.0000,1449.0000,1504.0000,2953.0000,0.0000,-42.0000,-0.0400,,0.0000,-7892.0000,1151.0000,417.0000,417.0000,,1142.0000,A,4848486550.0000,0.0000,11818.5600,95054,Santa Clara,,,12,4530,453010,45,45301020,3674,235,940,C,CA,
