gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
001161,20001231,2000,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20011231,2001,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20021231,2002,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20031231,2003,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20041231,2004,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20051231,2005,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20061231,2006,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20071231,2007,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20081231,2008,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20091231,2009,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20101231,2010,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20111231,2011,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20121231,2012,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20131231,2013,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20141231,2014,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20151231,2015,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001161,20161231,2016,INDL,C,D,STD,USD,A,4530,453010,45,45301020
001447,20001231,2000,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20001231,2000,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20011231,2001,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20011231,2001,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20021231,2002,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20021231,2002,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20031231,2003,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20031231,2003,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20041231,2004,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20041231,2004,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20051231,2005,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20051231,2005,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20061231,2006,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20061231,2006,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20071231,2007,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20071231,2007,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20081231,2008,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20081231,2008,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20091231,2009,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20091231,2009,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20101231,2010,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20101231,2010,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20111231,2011,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20111231,2011,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20121231,2012,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20121231,2012,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20131231,2013,FS,C,D,STD,USD,A,4020,402020,40,40202010
